number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma_inv,params_learning_rate,params_n_epochs,params_n_steps,params_net_arch,user_attrs_gamma,user_attrs_net_arch_name,state
23,62.5770141,2026-02-11 11:26:42.235335,2026-02-11 11:40:58.862693,0 days 00:14:16.627358,relu,64,0.2225783791757229,0.0004055661907909885,0.9457181386759305,0.014102087688551446,0.0005284156894307983,20,256,medium,0.9858979123114485,medium,COMPLETE
24,96.0601152,2026-02-11 11:40:58.873877,2026-02-11 11:56:43.080553,0 days 00:15:44.206676,relu,64,0.2866514361213371,0.00016600457234508482,0.9337674980204711,0.02085969800384475,0.0009822493278280598,20,800,medium,0.9791403019961552,medium,COMPLETE
25,300.0736544,2026-02-11 11:56:43.095689,2026-02-11 12:10:38.039159,0 days 00:13:54.943470,relu,64,0.18747560966396482,0.0023308877438322434,0.9562412962778617,0.009803075157260208,0.0003505035992014575,20,512,medium,0.9901969248427398,medium,COMPLETE
26,5.2467153,2026-02-11 12:10:38.053445,2026-02-11 12:11:19.783329,0 days 00:00:41.729884,tanh,512,0.1863302124033168,0.0014841810832398733,0.9605530803026352,0.009294027975155059,0.00029725529477078836,3,1024,medium,0.9907059720248449,medium,PRUNED
27,4.4166514,2026-02-11 12:11:19.794214,2026-02-11 12:13:17.516979,0 days 00:01:57.722765,relu,256,0.14967648695532676,0.0007612831067619892,0.9766748418695842,0.005377801146740496,0.00014276509190767512,10,800,medium,0.9946221988532595,medium,PRUNED
28,8.989997899999999,2026-02-11 12:13:17.525966,2026-02-11 12:14:13.232747,0 days 00:00:55.706781,tanh,128,0.16839640668948386,0.0032478587843527314,0.9089016644264573,0.013374155660861097,7.278660575138393e-05,5,512,small,0.9866258443391389,small,PRUNED
29,7.371503700000001,2026-02-11 12:14:13.241707,2026-02-11 12:15:05.945909,0 days 00:00:52.704202,tanh,512,0.20317649568114773,1.1155839794540436e-05,0.9407397744822102,0.002515035977191259,0.00018000053461064193,3,1024,large,0.9974849640228087,large,PRUNED
30,7.0960436,2026-02-11 12:15:05.954615,2026-02-11 12:17:58.391870,0 days 00:02:52.437255,relu,64,0.1263561402804962,6.195395709844017e-05,0.9654790433867748,0.009822661354134326,3.320151069449112e-05,20,1024,small,0.9901773386458657,small,PRUNED
31,20.5003777,2026-02-11 12:17:58.400357,2026-02-11 12:24:28.045840,0 days 00:06:29.645483,relu,64,0.235045842573396,0.011710779356428717,0.9495150644168255,0.003077981268349425,0.000413923573846568,20,512,medium,0.9969220187316505,medium,PRUNED
32,66.1488027,2026-02-11 12:24:28.057048,2026-02-11 12:38:31.445990,0 days 00:14:03.388942,relu,64,0.2454538568172584,0.0025190612658762585,0.9530447067107569,0.001648800331999725,0.0006446633383567704,20,512,medium,0.9983511996680002,medium,PRUNED
33,15.381560299999999,2026-02-11 12:38:31.470311,2026-02-11 12:44:41.530044,0 days 00:06:10.059733,relu,64,0.2216132620079727,0.01743175963693165,0.9291133896828281,0.00600352360439807,0.0002532071850307457,20,512,medium,0.993996476395602,medium,PRUNED
34,9.477066299999999,2026-02-11 12:44:41.538575,2026-02-11 12:48:21.175993,0 days 00:03:39.637418,relu,64,0.19497472513816588,0.08867616054530247,0.9611415025226433,0.004057402053699916,0.0005282617508310675,20,2048,medium,0.9959425979463001,medium,PRUNED
35,11.7549138,2026-02-11 12:48:21.184778,2026-02-11 12:49:39.072266,0 days 00:01:17.887488,relu,64,0.18224277807660264,0.0005110247473312527,0.9452344342809745,0.02456504618602442,0.0002652452075948253,5,256,medium,0.9754349538139756,medium,PRUNED
36,22.203988799999998,2026-02-11 12:49:39.080387,2026-02-11 12:58:13.965236,0 days 00:08:34.884849,tanh,64,0.27426112592630714,0.0012253440732615634,0.9715521514498058,0.037512726001262875,0.0007257358436719672,20,512,large,0.9624872739987371,large,PRUNED
37,3.3972869999999995,2026-02-11 12:58:13.975328,2026-02-11 12:58:53.099703,0 days 00:00:39.124375,relu,256,0.21562916684899383,0.00017352907646058421,0.9081619078111516,0.017554015341671645,2.1519137849045592e-05,3,2048,small,0.9824459846583283,small,PRUNED
38,5.3676088,2026-02-11 12:58:53.109050,2026-02-11 13:04:39.956028,0 days 00:05:46.846978,tanh,128,0.2562678122944506,0.00026141517379915907,0.9558863155142492,0.003312179796573288,0.00039069126208036216,20,800,large,0.9966878202034267,large,PRUNED
